player_id,name,first_name,last_name,short_name,date_of_birth,derived_age,nationality,nationality_raw,nationality_id,height,weight,club,club_id,league,league_id,position,positions,alternative_positions,position_type,preferred_foot,overall,potential,pace,acceleration,sprint_speed,shooting,finishing,shot_power,long_shots,volleys,penalties,positioning,passing,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,defending,interceptions,heading_accuracy,defensive_awareness,standing_tackle,sliding_tackle,physical,jumping,stamina,strength,aggression,weak_foot,skill_moves,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,value,wage,release_clause,contract_until,playstyles,playstyles_plus,gender,gender_id,source,source_player_id,source_url,overall_source,attributes_source,potential_source,data_version,scraped_at,game_club_id,game_club_name,game_league_id,club_source,provider_card_id,card_type
209331,Mohamed Salah,Mohamed,Salah,,1992-06-15,34,Egypt,Egypt,111,175,72,Liverpool,9,Premier League,,RM,"RM, RW",RW,Midfielder,Left,91,91,89,88,89,88,94,83,78,83,88,93,86,89,86,69,88,81,88,90,86,91,94,90,93,45,55,59,38,43,41,76,79,88,75,63,3,4,14,14,9,11,14,,,,,"Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch",Finesse Shot+,Men's Football,0,ea-drop-api,209331,https://www.ea.com/games/ea-sports-fc/ratings?playerId=209331,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,liverpool,Liverpool,eng,fc27,209331:BASE,BASE_LAUNCH
231747,Kylian Mbappé,Kylian,Mbappé,,1998-12-20,27,France,France,18,182,75,Real Madrid,243,LALIGA EA SPORTS,,ST,"ST, LW, LM","LW, LM",Attack,Right,91,94,97,97,97,90,92,91,86,87,82,91,81,83,78,69,87,74,80,92,93,82,91,93,88,37,38,78,26,34,32,76,90,83,77,61,4,5,13,5,7,11,6,,,,,"Finesse Shot, Acrobatic, Low Driven Shot, Gamechanger, Rapid, First Touch",Quick Step+,Men's Football,0,ea-drop-api,231747,https://www.ea.com/games/ea-sports-fc/ratings?playerId=231747,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,real-madrid,Real Madrid,esp,fc27,231747:BASE,BASE_LAUNCH
231443,Ousmane Dembélé,Ousmane,Dembélé,,1997-05-15,29,France,France,18,178,67,Paris SG,73,Ligue 1 McDonald's,,ST,"ST, RW, CAM","RW, CAM",Attack,Left,90,90,91,93,89,88,90,91,85,79,80,95,83,84,80,68,89,78,85,93,94,81,91,94,88,50,45,74,49,49,39,69,84,76,69,58,5,5,6,6,14,10,13,,,,,"Low Driven Shot, Pinged Pass, Inventive, Trickster, Quick Step",Rapid+,Men's Football,0,ea-drop-api,231443,https://www.ea.com/games/ea-sports-fc/ratings?playerId=231443,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,paris-saint-germain,Paris Saint-Germain,fra,fc27,231443:BASE,BASE_LAUNCH
231866,Rodri,Rodrigo,Hernández Cascante,Rodri,1996-06-22,30,Spain,Spain,45,190,82,Manchester City,10,Premier League,,CDM,"CDM, CM",CM,Midfielder,Right,90,90,65,65,65,80,74,92,89,71,62,76,86,84,76,64,93,91,86,84,66,67,93,90,93,86,84,81,88,87,82,85,83,91,83,85,4,3,10,10,7,14,8,,,,,"Power Shot, Long Ball Pass, Aerial Fortress, Press Proven, Bruiser",Tiki Taka+,Men's Football,0,ea-drop-api,231866,https://www.ea.com/games/ea-sports-fc/ratings?playerId=231866,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,manchester-city,Manchester City,eng,fc27,231866:BASE,BASE_LAUNCH
203376,Virgil van Dijk,Virgil,van Dijk,,1991-07-08,35,Netherlands,Holland,34,193,92,Liverpool,9,Premier League,,CB,CB,,Defense,Right,90,90,73,66,78,60,52,81,64,45,62,47,72,70,53,70,80,83,60,72,54,50,90,77,90,90,91,88,91,91,87,87,89,75,93,85,3,2,13,10,13,11,11,,,,,"Precision Header, Pinged Pass, Jockey, Anticipate, Aerial Fortress, Bruiser",Intercept+,Men's Football,0,ea-drop-api,203376,https://www.ea.com/games/ea-sports-fc/ratings?playerId=203376,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,liverpool,Liverpool,eng,fc27,203376:BASE,BASE_LAUNCH
252371,Jude Bellingham,Jude,Bellingham,,2003-06-29,23,England,England,14,186,75,Real Madrid,243,LALIGA EA SPORTS,,CAM,"CAM, CM",CM,Midfielder,Right,90,94,80,81,80,86,88,86,87,77,74,91,83,90,66,68,90,89,73,90,83,83,91,91,90,78,82,75,77,79,77,85,85,94,80,85,4,4,14,11,10,5,8,,,,,"Low Driven Shot, Gamechanger, Inventive, Slide Tackle, Technical, First Touch",Relentless+,Men's Football,0,ea-drop-api,252371,https://www.ea.com/games/ea-sports-fc/ratings?playerId=252371,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,real-madrid,Real Madrid,esp,fc27,252371:BASE,BASE_LAUNCH
239085,Erling Haaland,Erling,Haaland,,2000-07-21,26,Norway,Norway,36,195,94,Manchester City,10,Premier League,,ST,ST,,Attack,Left,90,92,86,79,92,91,94,94,83,90,90,95,70,74,58,62,77,66,77,80,71,69,93,82,86,45,43,83,38,47,29,88,92,76,93,88,3,3,7,14,13,11,7,,,,,"Chip Shot, Power Shot, Precision Header, Acrobatic, Gamechanger, Enforcer",Low Driven Shot+,Men's Football,0,ea-drop-api,239085,https://www.ea.com/games/ea-sports-fc/ratings?playerId=239085,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,manchester-city,Manchester City,eng,fc27,239085:BASE,BASE_LAUNCH
233419,Raphinha,Raphael,Dias Belloli,Raphinha,1996-12-14,29,Brazil,Brazil,54,176,68,FC Barcelona,241,LALIGA EA SPORTS,,LM,"LM, LW",LW,Midfielder,Left,89,89,91,90,91,84,87,83,82,72,78,89,85,87,86,79,85,80,85,87,88,79,87,88,85,53,56,74,49,54,38,75,82,91,65,77,4,4,8,7,13,8,14,,,,,"Finesse Shot, Power Shot, Trickster, Quick Step, Relentless",Rapid+,Men's Football,0,ea-drop-api,233419,https://www.ea.com/games/ea-sports-fc/ratings?playerId=233419,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,barcelona,FC Barcelona,esp,fc27,233419:BASE,BASE_LAUNCH
235212,Achraf Hakimi,Achraf,Hakimi,,1998-11-04,27,Morocco,Morocco,129,181,73,Paris SG,73,Ligue 1 McDonald's,,RB,"RB, RM",RM,Defense,Right,89,90,92,89,95,79,80,82,77,74,68,84,82,78,85,80,86,73,78,83,81,78,90,85,84,82,85,71,82,85,79,79,84,95,72,77,4,4,10,8,14,6,8,,,,,"Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step",Relentless+,Men's Football,0,ea-drop-api,235212,https://www.ea.com/games/ea-sports-fc/ratings?playerId=235212,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,paris-saint-germain,Paris Saint-Germain,fra,fc27,235212:BASE,BASE_LAUNCH
277643,Lamine Yamal,Lamine Yamal,Nasraoui Ebana,Lamine Yamal,2007-07-13,19,Spain,Spain,45,180,72,FC Barcelona,241,LALIGA EA SPORTS,,RM,"RM, RW",RW,Midfielder,Left,89,95,85,88,83,81,83,83,82,65,69,88,86,88,89,65,88,84,87,90,93,81,88,90,84,23,18,33,23,20,28,53,58,73,45,45,3,5,9,13,7,10,7,,,,,"Finesse Shot, Gamechanger, Incisive Pass, Inventive, First Touch, Quick Step",Technical+,Men's Football,0,ea-drop-api,277643,https://www.ea.com/games/ea-sports-fc/ratings?playerId=277643,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,barcelona,FC Barcelona,esp,fc27,277643:BASE,BASE_LAUNCH
255253,Vitinha,Vítor,Machado Ferreira,Vitinha,2000-02-13,26,Portugal,Portugal,38,172,64,Paris SG,73,Ligue 1 McDonald's,,CM,"CM, CDM, CAM","CDM, CAM",Midfielder,Right,89,91,72,75,69,80,80,77,84,62,88,81,86,90,78,69,90,89,81,90,91,89,88,88,88,75,85,52,74,79,69,70,66,87,59,77,3,4,12,13,8,5,5,,,,,"Finesse Shot, Incisive Pass, Long Ball Pass, Tiki Taka, Intercept, Relentless",Technical+,Men's Football,0,ea-drop-api,255253,https://www.ea.com/games/ea-sports-fc/ratings?playerId=255253,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,paris-saint-germain,Paris Saint-Germain,fra,fc27,255253:BASE,BASE_LAUNCH
230621,Gianluigi Donnarumma,Gianluigi,Donnarumma,,1999-02-25,27,Italy,Italy,27,196,90,Manchester City,10,Premier League,,GK,GK,,Defense,Right,89,91,90,50,55,83,12,53,18,8,24,14,70,60,12,14,36,34,12,90,57,38,87,30,54,52,26,12,21,14,16,87,73,41,75,30,3,1,90,83,70,87,90,,,,,Footwork,Deflector+,Men's Football,0,ea-drop-api,230621,https://www.ea.com/games/ea-sports-fc/ratings?playerId=230621,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,manchester-city,Manchester City,eng,fc27,230621:BASE,BASE_LAUNCH
251854,Pedri,Pedro,González López,Pedri,2002-11-25,23,Spain,Spain,45,174,60,FC Barcelona,241,LALIGA EA SPORTS,,CM,"CM, CDM, CAM","CDM, CAM",Midfielder,Right,89,93,77,79,76,73,77,68,76,56,53,86,85,91,76,62,90,88,79,91,89,92,87,91,90,78,87,50,74,85,79,77,72,90,73,72,4,4,12,7,11,8,8,,,,,"Incisive Pass, Long Ball Pass, Tiki Taka, Technical, Relentless",First Touch+,Men's Football,0,ea-drop-api,251854,https://www.ea.com/games/ea-sports-fc/ratings?playerId=251854,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,barcelona,FC Barcelona,esp,fc27,251854:BASE,BASE_LAUNCH
212622,Joshua Kimmich,Joshua,Kimmich,,1995-02-08,31,Germany,Germany,21,177,75,FC Bayern München,21,Bundesliga,,CDM,"CDM, RB, CM","RB, CM",Midfielder,Right,89,89,72,75,70,74,68,78,83,69,71,78,89,86,92,79,89,92,85,84,83,84,89,86,86,83,85,72,82,86,85,79,77,92,69,89,4,3,8,15,7,15,15,,,,,"Finesse Shot, Whipped Pass, Anticipate, Press Proven, Relentless",Long Ball Pass+,Men's Football,0,ea-drop-api,212622,https://www.ea.com/games/ea-sports-fc/ratings?playerId=212622,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,bayern-munich,Bayern Munich,ger,fc27,212622:BASE,BASE_LAUNCH
212831,Alisson,Alisson,Ramses Becker,Alisson,1992-10-02,33,Brazil,Brazil,54,193,91,Liverpool,9,Premier League,,GK,GK,,Defense,Right,89,89,86,60,49,85,13,65,14,20,23,13,86,66,17,18,60,58,19,89,40,37,87,42,66,56,11,29,15,19,16,90,82,32,78,27,3,1,86,85,86,90,89,,,,,"Far Throw, Deflector",Rush Out+,Men's Football,0,ea-drop-api,212831,https://www.ea.com/games/ea-sports-fc/ratings?playerId=212831,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,liverpool,Liverpool,eng,fc27,212831:BASE,BASE_LAUNCH
202126,Harry Kane,Harry,Kane,,1993-07-28,33,England,England,14,188,86,FC Bayern München,21,Bundesliga,,ST,ST,,Attack,Right,89,89,64,62,66,92,93,91,89,89,95,94,83,86,80,69,86,79,82,82,67,72,94,87,92,48,42,90,46,44,38,82,87,76,86,80,4,3,8,10,11,14,11,,,,,"Precision Header, Low Driven Shot, Gamechanger, Long Ball Pass, First Touch",Finesse Shot+,Men's Football,0,ea-drop-api,202126,https://www.ea.com/games/ea-sports-fc/ratings?playerId=202126,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,bayern-munich,Bayern Munich,ger,fc27,202126:BASE,BASE_LAUNCH
239053,Federico Valverde,Federico,Valverde,,1998-07-22,28,Uruguay,Uruguay,60,182,74,Real Madrid,243,LALIGA EA SPORTS,,CM,"CM, CDM, RB","CDM, RB",Midfielder,Right,89,90,88,84,92,84,80,91,91,78,59,86,84,86,78,69,88,88,76,84,77,68,89,88,84,83,86,63,82,87,86,85,82,93,82,81,4,3,6,10,6,15,8,,,,,"Power Shot, Long Ball Pass, Intercept, Slide Tackle, Aerial Fortress, Rapid",Relentless+,Men's Football,0,ea-drop-api,239053,https://www.ea.com/games/ea-sports-fc/ratings?playerId=239053,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,real-madrid,Real Madrid,esp,fc27,239053:BASE,BASE_LAUNCH
238794,Vini Jr.,Vinícius José,de Oliveira Júnior,Vini Jr.,2000-07-12,26,Brazil,Brazil,54,176,73,Real Madrid,243,LALIGA EA SPORTS,,LW,"LW, ST, LM","ST, LM",Attack,Right,89,92,95,95,95,84,88,81,83,73,74,86,81,85,81,62,83,77,79,91,94,84,85,90,83,29,26,50,32,25,18,69,74,84,65,58,4,5,5,7,7,7,10,,,,,"Finesse Shot, Chip Shot, Gamechanger, Inventive, Rapid, First Touch",Quick Step+,Men's Football,0,ea-drop-api,238794,https://www.ea.com/games/ea-sports-fc/ratings?playerId=238794,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,real-madrid,Real Madrid,esp,fc27,238794:BASE,BASE_LAUNCH
256630,Florian Wirtz,Florian,Wirtz,,2003-05-03,23,Germany,Germany,21,177,71,Liverpool,9,Premier League,,CAM,"CAM, ST, CM","ST, CM",Midfielder,Right,89,93,80,82,79,82,84,78,84,81,66,85,88,91,87,74,91,87,83,90,88,87,88,92,86,54,55,43,64,49,44,67,65,87,59,63,4,4,14,14,13,6,10,,,,,"Finesse Shot, Chip Shot, Low Driven Shot, Inventive, Technical, First Touch",Incisive Pass+,Men's Football,0,ea-drop-api,256630,https://www.ea.com/games/ea-sports-fc/ratings?playerId=256630,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,liverpool,Liverpool,eng,fc27,256630:BASE,BASE_LAUNCH
192119,Thibaut Courtois,Thibaut,Courtois,,1992-05-11,34,Belgium,Belgium,7,200,96,Real Madrid,243,LALIGA EA SPORTS,,GK,GK,,Defense,Left,89,89,85,42,52,89,14,57,17,12,27,13,76,44,14,20,33,35,19,90,63,45,88,23,66,46,15,13,20,18,16,88,68,38,70,23,3,1,85,89,76,88,90,,,,,"Far Throw, Rush Out",Cross Claimer+,Men's Football,0,ea-drop-api,192119,https://www.ea.com/games/ea-sports-fc/ratings?playerId=192119,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,real-madrid,Real Madrid,esp,fc27,192119:BASE,BASE_LAUNCH
188545,Robert Lewandowski,Robert,Lewandowski,,1988-08-21,38,Poland,Poland,37,185,81,FC Barcelona,241,LALIGA EA SPORTS,,ST,ST,,Attack,Right,88,88,74,73,74,89,92,89,82,86,90,90,79,81,76,84,84,70,79,85,77,83,89,88,87,44,49,87,35,42,19,84,91,76,89,81,4,4,15,6,12,8,10,,,,,"Finesse Shot, Power Shot, Precision Header, Low Driven Shot, Incisive Pass, First Touch",Chip Shot+,Men's Football,0,ea-drop-api,188545,https://www.ea.com/games/ea-sports-fc/ratings?playerId=188545,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,barcelona,FC Barcelona,esp,fc27,188545:BASE,BASE_LAUNCH
231478,Lautaro Martínez,Lautaro,Martínez,,1997-08-22,29,Argentina,Argentina,52,174,72,Lombardia FC,131682,Serie A Enilive,,ST,ST,,Attack,Right,88,88,81,83,80,88,93,87,80,92,74,93,75,79,68,65,78,72,84,84,88,87,92,84,88,51,48,86,45,50,45,83,91,86,80,87,4,4,11,8,8,8,13,,,,,"Power Shot, Precision Header, Incisive Pass, Technical, Relentless, Enforcer",Gamechanger+,Men's Football,0,ea-drop-api,231478,https://www.ea.com/games/ea-sports-fc/ratings?playerId=231478,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,inter-milan,Inter Milan,ita,fc27,231478:BASE,BASE_LAUNCH
233731,Alexander Isak,Alexander,Isak,,1999-09-21,26,Sweden,Sweden,46,192,77,Liverpool,9,Premier League,,ST,ST,,Attack,Right,88,89,83,86,80,89,91,91,83,81,86,89,73,80,68,64,79,60,75,85,73,69,87,87,88,39,38,82,35,34,29,76,90,82,79,58,4,4,7,6,9,7,11,,,,,"Power Shot, Low Driven Shot, Gamechanger, Rapid, First Touch",Finesse Shot+,Men's Football,0,ea-drop-api,233731,https://www.ea.com/games/ea-sports-fc/ratings?playerId=233731,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,liverpool,Liverpool,eng,fc27,233731:BASE,BASE_LAUNCH
256790,Jamal Musiala,Jamal,Musiala,,2003-02-26,23,Germany,Germany,21,184,72,FC Bayern München,21,Bundesliga,,CAM,"CAM, LM, CM, ST","LM, CM, ST",Midfielder,Right,88,92,80,85,75,82,86,80,82,75,61,88,80,84,70,59,87,79,75,90,94,93,89,85,83,66,65,75,64,66,61,65,80,73,61,59,4,5,6,9,8,8,11,,,,,"Precision Header, Low Driven Shot, Gamechanger, Incisive Pass, Inventive, Trickster",Technical+,Men's Football,0,ea-drop-api,256790,https://www.ea.com/games/ea-sports-fc/ratings?playerId=256790,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,bayern-munich,Bayern Munich,ger,fc27,256790:BASE,BASE_LAUNCH
