player_id,name,first_name,last_name,short_name,date_of_birth,derived_age,nationality,nationality_raw,nationality_id,height,weight,club,club_id,league,league_id,position,positions,alternative_positions,position_type,preferred_foot,overall,potential,pace,acceleration,sprint_speed,shooting,finishing,shot_power,long_shots,volleys,penalties,positioning,passing,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,defending,interceptions,heading_accuracy,defensive_awareness,standing_tackle,sliding_tackle,physical,jumping,stamina,strength,aggression,weak_foot,skill_moves,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,value,wage,release_clause,contract_until,playstyles,playstyles_plus,gender,gender_id,source,source_player_id,source_url,overall_source,attributes_source,potential_source,data_version,scraped_at,game_club_id,game_club_name,game_league_id,club_source,provider_card_id,card_type
19541,Glenn Morris,Glenn,Morris,,1983-12-20,42,England,England,14,183,70,Gillingham,1802,EFL League Two,,GK,GK,,Defense,Right,61,61,60,31,32,59,15,43,17,12,29,14,57,53,20,15,31,50,13,62,52,55,57,30,56,31,17,14,13,22,24,63,56,30,63,30,3,1,60,59,57,63,62,,,,,"Footwork, Cross Claimer",,Men's Football,0,ea-drop-api,19541,https://www.ea.com/games/ea-sports-fc/ratings?playerId=19541,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,gillingham,Gillingham,eng-4,fc27,19541:BASE,BASE_LAUNCH
71427,Reilyn Turner,Reilyn,Turner,,2002-10-18,23,USA,United States,95,175,66,Portland Thorns,116302,NWSL,,ST,ST,,Attack,Right,68,,69,69,69,66,68,67,63,58,50,70,55,57,34,40,72,50,33,68,61,63,66,72,50,43,31,66,30,57,39,64,72,64,67,56,3,2,8,10,11,12,9,,,,,Precision Header,,Women's Football,1,ea-drop-api,71427,https://www.ea.com/games/ea-sports-fc/ratings?playerId=71427,ea-drop-api,ea-drop-api,,fc27,2026-08-28T09:08:58.508Z,,,,,71427:BASE,BASE_LAUNCH
72970,Dan Ellison,Dan,Ellison,,2005-03-30,21,England,England,14,185,85,Bristol Rovers,1962,EFL League Two,,CB,CB,,Defense,Right,53,67,61,57,64,27,24,39,19,28,32,26,41,33,24,26,52,54,30,44,51,61,48,51,46,51,49,55,50,53,50,59,59,64,59,53,3,2,12,13,5,14,9,,,,,,,Men's Football,0,ea-drop-api,72970,https://www.ea.com/games/ea-sports-fc/ratings?playerId=72970,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,bristol-rovers,Bristol Rovers,eng-3,fc27,72970:BASE,BASE_LAUNCH
74107,Stanley Skipper,Stanley,Skipper,,2005-09-29,20,England,England,14,181,77,Gillingham,1802,EFL League Two,,CM,"CM, CAM",CAM,Midfielder,Left,50,60,66,67,66,43,39,50,46,37,44,45,50,52,45,47,53,50,50,54,68,69,47,53,44,40,41,40,39,43,36,53,45,64,54,40,3,2,14,9,7,8,10,,,,,,,Men's Football,0,ea-drop-api,74107,https://www.ea.com/games/ea-sports-fc/ratings?playerId=74107,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,gillingham,Gillingham,eng-4,fc27,74107:BASE,BASE_LAUNCH
75535,Aymen Sliti,Aymen,Sliti,,2006-03-24,20,Netherlands,Holland,34,175,62,,,Eredivisie,,LW,"LW, RW, LM","RW, LM",Attack,Left,64,81,78,77,79,57,56,66,54,47,56,56,57,55,66,44,58,49,64,68,85,79,56,66,56,27,19,40,27,28,30,46,46,54,41,48,3,3,15,9,13,9,6,,,,,,,Men's Football,0,ea-drop-api,75535,https://www.ea.com/games/ea-sports-fc/ratings?playerId=75535,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,feyenoord,Feyenoord Rotterdam,ned,fc26-backfill,75535:BASE,BASE_LAUNCH
77127,Mick Schmetgens,Mick,Schmetgens,,2007-09-09,18,Germany,Germany,21,190,85,SV Werder Bremen,38,Bundesliga,,CB,CB,,Defense,Right,56,75,54,52,55,33,29,49,24,37,48,25,35,31,37,36,37,35,36,36,36,45,51,40,42,57,57,56,56,59,57,58,62,40,69,51,2,2,9,7,9,14,11,,,,,,,Men's Football,0,ea-drop-api,77127,https://www.ea.com/games/ea-sports-fc/ratings?playerId=77127,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,werder-bremen,Werder Bremen,ger,fc27,77127:BASE,BASE_LAUNCH
78786,Felix Wimmer,Felix,Wimmer,,1998-08-17,28,Austria,Austria,4,183,75,SV Oberbank Ried,780,Ö. Bundesliga,,GK,GK,,Defense,Left,60,62,58,28,29,57,14,46,13,8,20,9,61,35,18,15,28,24,15,61,33,51,54,13,26,28,13,14,11,19,16,62,45,22,48,21,1,1,58,57,61,62,61,,,,,,,Men's Football,0,ea-drop-api,78786,https://www.ea.com/games/ea-sports-fc/ratings?playerId=78786,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,,,,,78786:BASE,BASE_LAUNCH
80232,George Birch,George,Birch,,2006-09-24,19,England,England,14,162,56,Exeter City,143,EFL League One,,CAM,"CAM, CM",CM,Midfielder,Right,52,70,72,74,70,45,46,48,42,44,43,46,49,50,48,42,52,46,48,56,84,88,51,50,51,38,33,43,39,40,37,38,38,48,32,41,3,3,11,6,15,12,7,,,,,,,Men's Football,0,ea-drop-api,80232,https://www.ea.com/games/ea-sports-fc/ratings?playerId=80232,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,exeter-city,Exeter City,eng-3,fc27,80232:BASE,BASE_LAUNCH
193331,Karl Darlow,Karl,Darlow,,1990-10-08,35,Wales,Wales,50,190,88,Leeds United,8,Premier League,,GK,GK,,Defense,Right,72,72,73,60,54,70,14,50,11,15,19,18,66,37,12,16,36,30,19,75,64,64,66,31,53,58,26,12,17,11,12,72,67,44,60,13,2,1,73,70,66,72,75,,,,,Far Throw,,Men's Football,0,ea-drop-api,193331,https://www.ea.com/games/ea-sports-fc/ratings?playerId=193331,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,leeds-united,Leeds United,eng-2,fc27,193331:BASE,BASE_LAUNCH
203368,Eirik Ulland Andersen,Eirik Ulland,Andersen,,1992-09-21,33,Norway,Norway,36,182,73,,,Eliteserien,,LW,"LW, CM, RW, LM","CM, RW, LM",Attack,Right,65,65,60,56,64,66,65,70,69,50,60,65,66,66,66,70,65,66,73,65,64,67,66,66,63,34,31,52,36,30,29,53,56,55,57,41,2,3,14,14,8,15,9,,,,,Dead Ball,,Men's Football,0,ea-drop-api,203368,https://www.ea.com/games/ea-sports-fc/ratings?playerId=203368,ea-drop-api,ea-drop-api,FC26_20250921-carryover,fc27,2026-08-28T09:08:58.508Z,stromsgodset,Strømsgodset IF,nor,fc26-backfill,203368:BASE,BASE_LAUNCH
