source_provider,provider_player_id,game_version,name,common_name,date_of_birth,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,primary_position,alternative_positions,nation,club,league,player_image_url,source_url
WEFUT,227203,FC27,Alexia Putellas,Alexia Putellas,,,,,,,CM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/227203.png?27,https://wefut.com/player/latest/27/0
WEFUT,239085,FC27,Haaland,Haaland,,,,,,,ST,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/239085.png?27,https://wefut.com/player/latest/27/0
WEFUT,231747,FC27,Mbappé,Mbappé,,,,,,,ST,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/231747.png?27,https://wefut.com/player/latest/27/0
WEFUT,246219,FC27,Shaw,Shaw,,,,,,,ST,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/246219.png?27,https://wefut.com/player/latest/27/0
WEFUT,241667,FC27,Aitana Bonmatí,Aitana Bonmatí,,,,,,,CM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/241667.png?27,https://wefut.com/player/latest/27/0
WEFUT,231866,FC27,Rodri,Rodri,,,,,,,CDM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/231866.png?27,https://wefut.com/player/latest/27/0
WEFUT,231443,FC27,Dembélé,Dembélé,,,,,,,ST,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/231443.png?27,https://wefut.com/player/latest/27/0
WEFUT,255253,FC27,Vitinha,Vitinha,,,,,,,CM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/255253.png?27,https://wefut.com/player/latest/27/0
WEFUT,202126,FC27,Kane,Kane,,,,,,,ST,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/202126.png?27,https://wefut.com/player/latest/27/0
WEFUT,247827,FC27,Olise,Olise,,,,,,,RM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/247827.png?27,https://wefut.com/player/latest/27/0
WEFUT,192119,FC27,Courtois,Courtois,,,,,,,GK,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/192119.png?27,https://wefut.com/player/latest/27/0
WEFUT,251854,FC27,Pedri,Pedri,,,,,,,CM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/251854.png?27,https://wefut.com/player/latest/27/0
WEFUT,252371,FC27,Bellingham,Bellingham,,,,,,,CAM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/252371.png?27,https://wefut.com/player/latest/27/0
WEFUT,277643,FC27,Lamine Yamal,Lamine Yamal,,,,,,,RW,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/277643.png?27,https://wefut.com/player/latest/27/0
WEFUT,237288,FC27,Mariona,Mariona,,,,,,,CM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/237288.png?27,https://wefut.com/player/latest/27/0
WEFUT,279799,FC27,Chawinga,Chawinga,,,,,,,LM,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/279799.png?27,https://wefut.com/player/latest/27/0
WEFUT,227102,FC27,Graham Hansen,Graham Hansen,,,,,,,RW,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/227102.png?27,https://wefut.com/player/latest/27/0
WEFUT,241846,FC27,Pajor,Pajor,,,,,,,ST,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/241846.png?27,https://wefut.com/player/latest/27/0
WEFUT,262531,FC27,Claudia Pina,Claudia Pina,,,,,,,LW,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/262531.png?27,https://wefut.com/player/latest/27/0
